staff_name,publication,publication_year
Steven ARMFIELD,85 Simulation of External Flows Using a Zonal Algorithm Steven Armfield Depts. of Civil and Environmental Engineering University of Western Australia,1993
Steven ARMFIELD,Application of adaptive multigrid method to natural convection,1993
Steven ARMFIELD,Natural convection in a Street Canyon,1993
Steven ARMFIELD,Symbolic analysis of reduced forms of the Navier-Stokes equations,1990
Steven ARMFIELD,DIRECT SIMULATION OF BREAKING INTERNAL WAVES,1989
Steven ARMFIELD,Simulation of swirling diffuser flow using K-epsilon and algebraic Reynolds stress turbulence models,1987
Steven ARMFIELD,SIMULATION OF INTERNAL SWIRLING FLOW WITH MIXING LENGTH AND K-ε TURBULENCE MODELS,1986
Steven ARMFIELD,DNS OF A TEMPORALLY EVOLVING VERTICAL NATURAL CONVECTION BOUNDARY LAYER,Unknown
Steven ARMFIELD,Non-Oberbeck--Boussinesq Effects on the Convective Stability in a Transient Natural Convection Boundary Layer for Water,Unknown
Steven ARMFIELD,An a Posteriori Procedure to Correct for the Error Due to Nonuniform and Unsteady Laser Power in Lif Measurements,Unknown
Steven ARMFIELD,"Dai, Wenjin 86, 97, 118 Dang, Long 258 de la Rosa, JJG 129 Deng, Hua 153 Di Lecce, Vincenzo 56, 242",Unknown
Steven ARMFIELD,Temporally Developing Natural Convection Boundary Layer,Unknown
Steven ARMFIELD,Simulation 0f Swirling Diffuser Flo Using kE allil Algebrale Reynolls Stress Turlulen Eg Milels,Unknown
Steven ARMFIELD,Promotions to Professor,Unknown
Steven ARMFIELD,A Robust Evolutionary Technique for Coupled and Multidisciplinary Design Optimisation Problems in Aeronautics,Unknown
Steven ARMFIELD,A SURGE WAVE SCALING FOR THE PURGING OF DENSITY STABILISED PONDS,Unknown
Steven ARMFIELD,Combined Natural Convection of a Drink Can using Three-Dimensional Simulation,Unknown
Steven ARMFIELD,Investigation of Irreversibility in Data Centre Environment,Unknown
Steven ARMFIELD,Simulaliun oi Swirling llilluser Flow Using Ir-8 and Algebraic Reynolds Stress lurhulenee Models,Unknown
Steven ARMFIELD,Representation of non-rectangular boundaries in numerical simulations of natural convection flows in reservoir sidearms,Unknown
Steven ARMFIELD,Simulation of Swirling Diffuser Flow Using kC and Algebraic Reynolds Stress Turbulence Models,Unknown
Steven ARMFIELD,The Lattice Boltzmann Method for Laminar and Turbulent Channel Flows,Unknown
Steven ARMFIELD,THE STABILITY OF THE NATURAL CONVECTION FLOW ON AN EVENLY HEATED VERTICAL PLATE,Unknown
Steven ARMFIELD,Stability and transition in the near-field of pure thermal planar plumes,Unknown
Andrew BREEN,Role of stress-assisted martensite in the design of strong ultrafine-grained duplex steels,2015
Andrew BREEN,Phase nucleation through confined spinodal fluctuations at crystal defects evidenced in Fe-Mn alloys,2018
Andrew BREEN,Characterizing solute hydrogen and hydrides in pure and alloyed titanium at the atomic scale,2018
Andrew BREEN,Solute hydrogen and deuterium observed at the near atomic scale in high-strength steel,2020
Andrew BREEN,Lattice rectification in atom probe tomography: Toward true three-dimensional atomic microscopy,2011
Andrew BREEN,An automated method of quantifying ferrite microstructures using electron backscatter diffraction (EBSD) data,2014
Andrew BREEN,High-rate superplasticity in an equiatomic medium-entropy VCoNi alloy enabled through dynamic recrystallization of a duplex microstructure of ordered phases,2020
Andrew BREEN,Atom probe tomography analysis of boron and/or phosphorus distribution in doped silicon nanocrystals,2016
Andrew BREEN,The Laplace Project: An integrated suite for preparing and transferring atom probe samples under cryogenic and UHV conditions,2018
Andrew BREEN,Atomically resolved tomography to directly inform simulations for structure–property relationships,2014
Andrew BREEN,Atomic scale analysis of grain boundary deuteride growth front in Zircaloy-4,2018
Andrew BREEN,Microstructure-property gradients in Ni-based superalloy (Inconel 738) additively manufactured via electron beam powder bed fusion,2021
Andrew BREEN,Quantification challenges for atom probe tomography of hydrogen and deuterium in Zircaloy-4,2019
Andrew BREEN,Precipitation behaviors of cubic and tetragonal Zr–rich phase in Al–(Si–) Zr alloys,2016
Andrew BREEN,Correlating atom probe crystallographic measurements with transmission Kikuchi diffraction data,2017
Andrew BREEN,Interfaces and defect composition at the near-atomic scale through atom probe tomography investigations,2018
Andrew BREEN,Breaking the icosahedra in boron carbide,2016
Andrew BREEN,Linking stress-driven microstructural evolution in nanocrystalline aluminium with grain boundary doping of oxygen,2016
Andrew BREEN,Phase transformation pathways in Ti-6Al-4V manufactured via electron beam powder bed fusion,2021
Andrew BREEN,Interpreting atom probe data from chromium oxide scales,2015
Andrew BREEN,Resolving the morphology of niobium carbonitride nano-precipitates in steel using atom probe tomography,2014
Andrew BREEN,A new systematic framework for crystallographic analysis of atom probe data,2015
Andrew BREEN,Quantitative chemical-structure evaluation using atom probe tomography: Short-range order analysis of Fe–Al,2015
Andrew BREEN,The rise of computational techniques in atom probe microscopy,2013
Andrew BREEN,Introducing C phase in additively manufactured Ti-6Al-4V: A new oxygen-stabilized face-centred cubic solid solution with improved mechanical properties,2022
Andrew BREEN,Elemental re-distribution inside shear bands revealed by correlative atom-probe tomography and electron microscopy in a deformed metallic glass,2019
Andrew BREEN,Atomic-scale investigation of hydrogen distribution in a TiMo alloy,2019
Andrew BREEN,Atom probe tomography investigation of heterogeneous short-range ordering in the ‘komplex’phase state (K-state) of Fe–18Al (at.%),2015
Andrew BREEN,The Laplace project: an integrated suite for correlative atom probe tomography and electron microscopy under cryogenic and UHV conditions,2018
Andrew BREEN,A nexus between 3D atomistic data hybrids derived from atom probe microscopy and computational materials science: A new analysis of solute clustering in Al-alloys,2017
Andrew BREEN,Restoring the lattice of Si-based atom probe reconstructions for enhanced information on dopant positioning,2015
Andrew BREEN,Machine-learning-based atom probe crystallographic analysis,2018
Andrew BREEN,Overcoming challenges in the study of nitrided microalloyed steels using atom probe,2012
Andrew BREEN,3D nanostructural characterisation of grain boundaries in atom probe data utilising machine learning methods,2019
Andrew BREEN,On the retrieval of crystallographic information from atom probe microscopy data via signal mapping from the detector coordinate space,2018
Andrew BREEN,Yield strength enhancement by carbon trapping in ferrite of the quenching and partitioning steel,2018
Andrew BREEN,Microstructure analysis of silicon nanocrystals formed from silicon rich oxide with high excess silicon: Annealing and doping effects,2017
Andrew BREEN,Atom probe tomography of phosphorus-and boron-doped silicon nanocrystals with various compositions of silicon rich oxide,2016
Andrew BREEN,Additively manufactured Haynes-282 monoliths containing thin wall struts of varying thicknesses,2022
Andrew BREEN,Atom probe tomography of size‐controlled phosphorus doped silicon nanocrystals,2017
Andrew BREEN,Improving the quantification of deuterium in zirconium alloy atom probe tomography data using existing analysis methods,2022
Andrew BREEN,Building a library of simulated atom probe data for different crystal structures and tip orientations using TAPSim,2019
Andrew BREEN,Elucidation of formation and transformation mechanisms of Ca-rich Laves phase in Mg-Al-Ca-Mn alloys,2022
Andrew BREEN,Open and strong-scaling tools for atom-probe crystallography: high-throughput methods for indexing crystal structure and orientation,2021
Andrew BREEN,Characterising the performance of an ultrawide field-of-view 3D atom probe,2023
Andrew BREEN,Measuring oxygen solubility in Ni grains and boundaries after oxidation using atom probe tomography,2022
Andrew BREEN,"Focused Ion Beam induced hydride formation does not affect Fe, Ni, Cr-clusters in irradiated Zircaloy-2",2023
Andrew BREEN,Revealing latent pole and zone line information in atom probe detector maps using crystallographically correlated metrics,2023
Andrew BREEN,Effects of thermal annealing on the distribution of boron and phosphorus in pin structured silicon nanocrystals embedded in silicon dioxide,2021
Andrew BREEN,Integrative atom probe tomography using scanning transmission electron microscopy-centric atom placement as a step toward atomic-scale tomography,2021
Andrew BREEN,Spatial decomposition of molecular ions within 3D atom probe reconstructions,2013
Andrew BREEN,Quantifying short-range order using atom probe tomography,2024
Andrew BREEN,Advanced quantification of the site-occupancy in ordered multi-component intermetallics using atom probe tomography,2022
Andrew BREEN,"Structural, optical, and electrical properties of silicon nanocrystals fabricated by high silicon content silicon-rich oxide and silicon dioxide bilayers",2016
Andrew BREEN,A Crystallography-Mediated Reconstruction (CMR) Approach for Atom Probe Tomography: Solution for a Singleton Pole,2021
Andrew BREEN,"Correlative study of lattice imperfections in long-range ordered, nano-scale domains in a Fe-Co-Mo alloy",2019
Andrew BREEN,Exploration of atom probe tomography at sub-10K,2022
Andrew BREEN,On strong scaling open source tools for mining atom probe tomography data,2019
Andrew BREEN,Direct Observation of Hydrogen in Cold-Drawn Pearlitic Steel Wires Using Cryogenic Atom Probe Tomography,2019
Andrew BREEN,A lattice-rectified and detection efficiency compensated APT reconstruction,2011
Andrew BREEN,New insights into the character of austenite-ferrite boundaries in an additively manufactured duplex stainless steel,2024
Andrew BREEN,Towards improved atom probe analysis of solid solution atomic architecture,2013
Andrew BREEN,"Corrigendum to “On the interplay of internal voids, mechanical properties, and residual stresses in additively manufactured Haynes 282”[Addit. Manuf. 75 (2023) 103749](Additive …",2024
Andrew BREEN,"On the interplay of internal voids, mechanical properties, and residual stresses in additively manufactured Haynes 282",2023
Andrew BREEN,Expanding the Limits of Atom Probe Crystallographic Analysis,2022
Andrew BREEN,Atomic scale analysis of grain boundary deuteride growth front in Zircaloy-4,2019
Andrew BREEN,Scalable Quantifying of Evolving Descriptive Spatial Statistics in Full-Field Crystal Plasticity and Atom Probe Tomography,2018
Andrew BREEN,Direct Observations of Atomic Hydrogen and Deuterium Interactions in Zircaloy-4,2018
Andrew BREEN,Influence of the field evaporation conditions on compositional analysis of titanium deuteride,2018
Andrew BREEN,Building a Library of Simulated Atom Probe Data for Different Crystal Structures and Pillar Orientations Using TAPSim,2018
Andrew BREEN,Direct Observation of Hydrogen in Ti Alloys by Atom Probe Tomography,2018
Andrew BREEN,Observing Solute Hydrogen and Hydride in Ti alloys by Atom Probe Tomography,2018
Andrew BREEN,"Ye Wei, Baptiste Gault, Rama Srinivas Varanasi, Dierk Raabe",2018
Andrew BREEN,Textures Studied at Near Atomic-Scale,2017
Andrew BREEN,Atomic-and multiscale observation of segregation,2017
Andrew BREEN,Multiprobe and Multiscale Characterisation of complex Materials,2017
Andrew BREEN,A Brief History of Metals,2017
Andrew BREEN,Advanced Atom Probe Tomography,2017
Andrew BREEN,Atomic Scale Characterization of Complex Materials,2017
Andrew BREEN,A nexus between 3D atomistic data hybrids derived from atom probe microscopy and computational materials science: A new analysis of solute clustering in Al-alloys,2017
Andrew BREEN,Microstructure analysis of silicon nanocrystals formed from silicon rich oxide with high excess silicon: Annealing and doping effects,2017
Andrew BREEN,Interfaces and defect composition at the near-atomic scale,2017
Andrew BREEN,Atom Probe Tomography Analysis of Boron and/or Phosphorus Distribution in Doped Silicon Nanocrystals,2016
Andrew BREEN,"Structural, optical, and electrical properties of silicon nanocrystals fabricated by high silicon content silicon-rich oxide and silicon dioxide bilayers",2016
Andrew BREEN,Simulation-Enhanced Atom Probe for Complete 3D Atomistic Imaging,2013
Andrew BREEN,Insight into Cluster Strengthening in a Nb-Microalloyed High Strength Low Alloyed Steel Using Atom Probe Tomography,2012
Andrew BREEN,"fusion, Additive Manufacturing,(2021)",Unknown
Andrew BREEN,Nucleation and Growth of Stable Hydrides,Unknown
Andrew BREEN,Advanced Reconstruction and Crystallographic Analysis in Atom Probe Tomography,Unknown
Zhemin CAI,Evaluation of rigid body force in liquid sloshing problems of a partially filled tank: Traditional CFD/SPH/ALE comparative study,2021
Zhemin CAI,An internal penalty discontinuous Galerkin method for simulating conjugate heat transfer in a closed cavity,2018
Zhemin CAI,Effects of constant unbalanced magnetic pull to the vibration behaviours of turbomachinery,2008
Zhemin CAI,A high-order discontinuous Galerkin method for simulating incompressible fluid-thermal-structural interaction problems,2020
Zhemin CAI,An internal penalty discontinuous Galerkin method for simulating a thermoelectric cooler,2018
Zhemin CAI,An investigation of the application of discontinuous Galerkin method for conjugate heat transfer of thermoelectric cooler,2016
Zhemin CAI,Prediction of fluid surge in partially-filled clean-bore and transverse baffled tanks of multiple designs under the United Nations Model Regulations,2023
Zhemin CAI,Numerical simulation of “sand-like” polymer flow during rotational moulding using smoothed particle hydrodynamics method,2023
Zhemin CAI,A High-order Discontinuous Galerkin Method for Simulating Incompressible Fluid-Thermal-Structural Problems,2019
Zhemin CAI,Application of Discontinuous Galerkin Methods for Fluid Thermal Structure Interaction Problems,2018
Zhemin CAI,EFFECTS OF THE GAS EXCITING FORCE TO THE VIBRATION BEHAVIOURS OF THE TURBOMACHINERY,2008
Zhemin CAI,EFFECTS OF THE STEAM EXCITATION FORCE TO THE VIBRATION BEHAVIOURS OF THE TURBOMACHINERY,Unknown
Julie CAIRNEY,Atom probe microscopy,2012
Julie CAIRNEY,Cu2ZnSnS4 solar cells with over 10% power conversion efficiency enabled by heterojunction heat treatment,2018
Julie CAIRNEY,"Observation of hydrogen trapping at dislocations, grain boundaries, and precipitates",2020
Julie CAIRNEY,Atom probe tomography,2021
Julie CAIRNEY,Microstructural evolution during ageing of Al–Cu–Li–x alloys,2014
Julie CAIRNEY,"Dynamic precipitation, segregation and strengthening of an Al-Zn-Mg-Cu alloy (AA7075) processed by high-pressure torsion",2019
Julie CAIRNEY,Long-chain terminal alcohols through catalytic CO hydrogenation,2013
Julie CAIRNEY,Atom probe crystallography,2012
Julie CAIRNEY,New insights into the phase transformations to isothermal ω and ω-assisted α in near β-Ti alloys,2016
Julie CAIRNEY,Tuning the Coordination Structure of CuNC Single Atom Catalysts for Simultaneous Electrochemical Reduction of CO2 and NO3– to Urea,2022
Julie CAIRNEY,Transmission Kikuchi diffraction in a scanning electron microscope: A review,2016
Julie CAIRNEY,Characterizing deformed ultrafine-grained and nanocrystalline materials using transmission Kikuchi diffraction in a scanning electron microscope,2014
Julie CAIRNEY,Deformation-induced trace element redistribution in zircon revealed using atom probe tomography,2016
Julie CAIRNEY,A reproducible method for damage‐free site‐specific preparation of atom probe tips from interfaces,2012
Julie CAIRNEY,"Nanocomposite Ti–Si–N, Zr–Si–N, Ti–Al–Si–N, Ti–Al–V–Si–N thin film coatings deposited by vacuum arc deposition",2005
Julie CAIRNEY,"Effect of ion irradiation on tensile ductility, strength and fictive temperature in metallic glass nanowires",2014
Julie CAIRNEY,Phase Stability of t′‐Zirconia‐Based Thermal Barrier Coatings: Mechanistic Insights,2011
Julie CAIRNEY,Penetration of protective chromia scales by carbon,2014
Julie CAIRNEY,Cd-Free Cu 2 ZnSnS 4 solar cell with an efficiency greater than 10% enabled by Al 2 O 3 passivation layers,2019
Julie CAIRNEY,Observations of grain boundary impurities in nanocrystalline Al and their influence on microstructural stability and mechanical behaviour,2012
Julie CAIRNEY,Isolated copper–tin atomic interfaces tuning electrocatalytic CO2 conversion,2021
Julie CAIRNEY,Atomic-scale compositional mapping reveals Mg-rich amorphous calcium phosphate in human dental enamel,2016
Julie CAIRNEY,Factors that affect the properties of additively-manufactured AlSi10Mg: Porosity versus microstructure,2019
Julie CAIRNEY,The effect of coordination environment on the activity and selectivity of single-atom catalysts,2022
Julie CAIRNEY,Reducing the macroparticle content of cathodic arc evaporated TiN coatings,2004
Julie CAIRNEY,Fatigue properties of AlSi10Mg produced by additive layer manufacturing,2019
Julie CAIRNEY,Strengthening from Nb-rich clusters in a Nb-microalloyed steel,2012
Julie CAIRNEY,On the multiplicity of field evaporation events in atom probe: A new dimension to the analysis of mass spectra,2010
Julie CAIRNEY,Increasing the strength of nanocrystalline steels by annealing: Is segregation necessary?,2015
Julie CAIRNEY,NiPS3 ultrathin nanosheets as versatile platform advancing highly active photocatalytic H2 production,2022
Julie CAIRNEY,Synthesis and performance evaluation of thin film PPy-PVDF multilayer electroactive polymer actuators,2011
Julie CAIRNEY,Tunable Syngas Production through CO2 Electroreduction on Cobalt–Carbon Composite Electrocatalyst,2020
Julie CAIRNEY,Atom probe specimen fabrication methods using a dual FIB/SEM,2007
Julie CAIRNEY,Precipitation and clustering in the early stages of ageing in Inconel 718,2010
Julie CAIRNEY,Dynamic reconstruction for atom probe tomography,2011
Julie CAIRNEY,The mechanism of ω-assisted α phase formation in near β-Ti alloys,2015
Julie CAIRNEY,Designing Undercoordinated Ni–Nx and Fe–Nx on Holey Graphene for Electrochemical CO2 Conversion to Syngas,2021
Julie CAIRNEY,Techniques for generating 3-D EBSD microstructures by FIB tomography,2007
Julie CAIRNEY,Three-dimensional investigation of particle-stimulated nucleation in a nickel alloy,2007
Julie CAIRNEY,Understanding solid solution strengthening at elevated temperatures in a creep-resistant Mg–Gd–Ca alloy,2019
Julie CAIRNEY,Superelasticity and tunable thermal expansion across a wide temperature range,2016
Julie CAIRNEY,The evolution of microstructure and mechanical properties of Ti–5Al–5Mo–5V–2Cr–1Fe during ageing,2015
Julie CAIRNEY,Investigating the microstructure and composition of cold gas-dynamic spray (CGDS) Ti powder deposited on Al 6063 substrate,2010
Julie CAIRNEY,Optimization of pulsed laser atom probe (PLAP) for the analysis of nanocomposite Ti–Si–N films,2010
Julie CAIRNEY,Degradation of TiN coatings under cyclic loading,2004
Julie CAIRNEY,Hydrogen in pipeline steels: Recent advances in characterization and embrittlement mitigation,2022
Julie CAIRNEY,Deformation mechanisms operating during nanoindentation of TiN coatings on steel substrates,2005
Julie CAIRNEY,Phase evolution upon aging of air plasma sprayed t′‐zirconia coatings: II–microstructure evolution,2013
Julie CAIRNEY,Elemental partitioning of platinum group metal containing Ni-base superalloys using electron microprobe analysis and atom probe tomography,2010
Julie CAIRNEY,Mining information from atom probe data,2015
Julie CAIRNEY,An automated method of quantifying ferrite microstructures using electron backscatter diffraction (EBSD) data,2014
Julie CAIRNEY,Atom probe crystallography: Atomic-scale 3-D orientation mapping,2012
Julie CAIRNEY,"High Efficiency Cu2ZnSn(S,Se)4 Solar Cells with Shallow LiZn Acceptor Defects Enabled by Solution‐Based Li Post‐Deposition Treatment",2021
Julie CAIRNEY,Enhanced photoelectrochemical water-splitting performance with a hierarchical heterostructure: Co3O4 nanodots anchored TiO2@ P-C3N4 core-shell nanorod arrays,2021
Julie CAIRNEY,Effect of tool wear evolution on chip formation during dry machining of Ti-6Al-4V alloy,2018
Julie CAIRNEY,New approaches to nanoparticle sample fabrication for atom probe tomography,2015
Julie CAIRNEY,Crystallographic structural analysis in atom probe microscopy via 3D Hough transformation,2011
Julie CAIRNEY,Atomic-Level Insights into the Edge Active ReS2 Ultrathin Nanosheets for High-Efficiency Light-to-Hydrogen Conversion,2020
Julie CAIRNEY,Elastically confined martensitic transformation at the nano-scale in a multifunctional titanium alloy,2017
Julie CAIRNEY,A quantitative atom probe study of the Nb excess at prior austenite grain boundaries in a Nb microalloyed strip-cast steel,2012
Julie CAIRNEY,New frontiers in atom probe tomography: a review of research enabled by cryo and/or vacuum transfer systems,2020
Julie CAIRNEY,"Segregation of B, P, and C in the Ni-based superalloy, inconel 718",2012
Julie CAIRNEY,On grain boundary segregation in molybdenum materials,2017
Julie CAIRNEY,Atom probe crystallography: Characterization of grain boundary orientation relationships in nanocrystalline aluminium,2011
Julie CAIRNEY,Deformation and fracture of TiN and TiAlN coatings on a steel substrate during nanoindentation,2006
Julie CAIRNEY,Redeposition effects in transmission electron microscope specimens of FeAl–WC composites prepared using a focused ion beam,2003
Julie CAIRNEY,FeS2 bridging function to enhance charge transfer between MoS2 and g–C3N4 for efficient hydrogen evolution reaction,2021
Julie CAIRNEY,Hydrogen trapping and desorption of dual precipitates in tempered low-carbon martensitic steel,2020
Julie CAIRNEY,Predicting the fatigue life of an AlSi10Mg alloy manufactured via laser powder bed fusion by using data from computed tomography,2020
Julie CAIRNEY,Cation‐Diffusion‐Based Simultaneous Bulk and Surface Passivations for High Bandgap Inverted Perovskite Solar Cell Producing Record Fill Factor and Efficiency,2022
Julie CAIRNEY,Impurity Tolerance of Unsaturated Ni-N-C Active Sites for Practical Electrochemical CO2 Reduction,2022
Julie CAIRNEY,The application of focused ion beam technology to the characterization of coatings,2005
Julie CAIRNEY,"Detecting and extracting clusters in atom probe data: A simple, automated method using Voronoi cells",2015
Julie CAIRNEY,Revealing the distribution of the atoms within individual bimetallic catalyst nanoparticles,2014
Julie CAIRNEY,Fabrication of dies in micro-scale for micro-sheet metal forming,2006
Julie CAIRNEY,Tracing the coupled atomic shear and shuffle for a cubic to a hexagonal crystal transition,2017
Julie CAIRNEY,The anatomy of grain boundaries: Their structure and atomic-level solute distribution,2013
Julie CAIRNEY,Significantly Raised Visible‐Light Photocatalytic H2 Evolution on a 2D/2D ReS2/In2ZnS4 van der Waals Heterostructure,2021
Julie CAIRNEY,Atom probe study of impurity segregation at grain boundaries in chromia scales grown in CO2 gas,2018
Julie CAIRNEY,Focused-ion-beam milling: a novel approach to probing the interior of particles used for inhalation aerosols,2007
Julie CAIRNEY,Transmission electron microscopy of TiN and TiAlN thin films using specimens prepared by focused ion beam milling,2004
Julie CAIRNEY,Heterogeneous molecular Co–N–C catalysts for efficient electrochemical H 2 O 2 synthesis,2023
Julie CAIRNEY,Nucleation driving force for ω-assisted formation of α and associated ω morphology in β-Ti alloys,2018
Julie CAIRNEY,Correlating atom probe crystallographic measurements with transmission Kikuchi diffraction data,2017
Julie CAIRNEY,Effect of niobium clustering and precipitation on strength of an NbTi-microalloyed ferritic steel,2014
Julie CAIRNEY,Effect of coating thickness on the deformation mechanisms in PVD TiN-coated steel,2010
Julie CAIRNEY,Phase stability of thermal barrier oxides: A comparative study of Y and Yb additions,2007
Julie CAIRNEY,"Shaping the lens of the atom probe: Fabrication of site specific, oriented specimens and application to grain boundary analysis",2011
Julie CAIRNEY,Plastic deformation of single‐crystal diamond nanopillars,2020
Julie CAIRNEY,"A study on novel AISI 304 stainless steel matrix composites reinforced with (Nb0. 75, Ti0. 25) C",2018
Julie CAIRNEY,Effect of Nb Microalloying and Hot Rolling on Microstructure and Properties of Ultrathin Cast Strip Steels Produced by the CASTRIP® Process,2011
Julie CAIRNEY,Transmission electron microscope specimen preparation of metal matrix composites using the focused ion beam miller,2000
Julie CAIRNEY,Zr–Si–N films fabricated using hybrid cathodic arc and chemical vapour deposition: structure vs. properties,2006
Julie CAIRNEY,The influence of partitioning on the growth of intragranular α in near-β Ti alloys,2015
Julie CAIRNEY,Applying computational geometry techniques for advanced feature analysis in atom probe data,2013
Julie CAIRNEY,A new approach to the determination of concentration profiles in atom probe tomography,2012
Julie CAIRNEY,Deformation and fracture of Ti–Si–N nanocomposite films,2005
Julie CAIRNEY,The role of ω in the precipitation of α in near-β Ti alloys,2016
Julie CAIRNEY,Effect of austenite deformation temperature on Nb clustering and precipitation in microalloyed steel,2014
Julie CAIRNEY,Atom probe tomography analysis of the reference zircon gj-1: An interlaboratory study,2018
Julie CAIRNEY,The effect of pre-existing defects on the strength and deformation behavior of α-Fe nanopillars,2013
Julie CAIRNEY,Breaking the icosahedra in boron carbide,2016
Julie CAIRNEY,"Performance of graphene, carbon nanotube, and gold nanoparticle chemiresistor sensors for the detection of petroleum hydrocarbons in water",2014
Julie CAIRNEY,Linking stress-driven microstructural evolution in nanocrystalline aluminium with grain boundary doping of oxygen,2016
Julie CAIRNEY,High strength heat-treatable β-titanium alloy for additive manufacturing,2020
Julie CAIRNEY,Fabrication and characterization of microstructure of stainless steel matrix composites containing up to 25 vol% NbC,2016
Julie CAIRNEY,Atom probe study of chromium oxide spinels formed during intergranular corrosion,2015
Julie CAIRNEY,Trace element homogeneity from micron-to atomic scale: Implication for the suitability of the zircon GJ-1 as a trace element reference material,2017
Julie CAIRNEY,Interpreting atom probe data from chromium oxide scales,2015
Julie CAIRNEY,Resolving the morphology of niobium carbonitride nano-precipitates in steel using atom probe tomography,2014
Julie CAIRNEY,Site-specific specimen preparation for atom probe tomography of grain boundaries,2007
Julie CAIRNEY,Mapping interfacial excess in atom probe data,2015
Julie CAIRNEY,"Crystal structures of orthorhombic, hexagonal, and cubic compounds of the Sm (x) Yb (2− x) TiO5 series",2014
Julie CAIRNEY,Pushing the limits for microactuators based on electroactive polymers,2012
Julie CAIRNEY,Effect of electrolyte storage layer on performance of PPy-PVDF-PPy microactuators,2011
Julie CAIRNEY,Optimisation of specimen temperature and pulse fraction in atom probe microscopy experiments on a microalloyed steel,2011
Julie CAIRNEY,Thin-film nanocomposites of diamond-like carbon and titanium oxide; Osteoblast adhesion and surface properties,2010
Julie CAIRNEY,Microstructure characterisation and mechanical properties of a functionally-graded NbC/high chromium white cast iron composite,2018
Julie CAIRNEY,Laser-assisted atom probe tomography of deformed minerals: a zircon case study,2017
Julie CAIRNEY,A new systematic framework for crystallographic analysis of atom probe data,2015
Julie CAIRNEY,Salt-tolerance training enabled flexible molten hydrate gel electrolytes for energy-dense and stable zinc storage,2023
Julie CAIRNEY,"Slurry erosion, sliding wear and corrosion behavior of martensitic stainless steel composites reinforced in-situ with NbC particles",2019
Julie CAIRNEY,Roles of Nd and Mn in a new creep-resistant magnesium alloy,2020
Julie CAIRNEY,Stabilizing the body centered cubic crystal in titanium alloys by a nano-scale concentration modulation,2017
Julie CAIRNEY,Microstructural investigation of Ti–Si–N hard coatings,2010
Julie CAIRNEY,Deposition of nanocomposite thin films by a hybrid cathodic arc and chemical vapour technique,2006
Julie CAIRNEY,Deposition of nanocomposite TiN-Si3N4 thin films by hybrid cathodic arc and chemical vapor process,2005
Julie CAIRNEY,Efficient monolithic perovskite–Si tandem solar cells enabled by an ultra-thin indium tin oxide interlayer,2023
Julie CAIRNEY,"Nanoscale pathways for human tooth decay–Central planar defect, organic-rich precipitate and high-angle grain boundary",2020
Julie CAIRNEY,Martensitic transformation in an intergranular corrosion area of austenitic stainless steel during thermal cycling,2014
Julie CAIRNEY,The rise of computational techniques in atom probe microscopy,2013
Julie CAIRNEY,Cluster strengthening of Nb-microalloyed ultra-thin cast strip steels produced by the CASTRIP® process,2013
Julie CAIRNEY,Three dimensional imaging of deformation modes in TiN-based thin film coatings,2007
Julie CAIRNEY,Examination of fracture surfaces using focused ion beam milling,2000
Julie CAIRNEY,Precipitation of the α-phase in an ultrafine grained beta-titanium alloy processed by severe plastic deformation,2014
Julie CAIRNEY,Preparation of transmission electron microscope specimens from FeAl and WC powders using focused-ion beam milling,2001
Julie CAIRNEY,"Precipitation of (Ti, Zr, Nb, Ta, Hf) C high entropy carbides in a steel matrix",2020
Julie CAIRNEY,Characterisation of TiN and TiAlN thin films deposited on ground surfaces using focused ion beam milling,2004
Julie CAIRNEY,"Crystal chemistry of the orthorhombic Ln2TiO5 compounds with Ln= La, Pr, Nd, Sm, Gd, Tb and Dy",2015
Julie CAIRNEY,The effect of clustering on the mobility of dislocations during aging in Nb-microalloyed strip cast steels: In situ heating TEM observations,2013
Julie CAIRNEY,"Ion-irradiation resistance of the orthorhombic Ln2TiO5 (Ln= La, Pr, Nd, Sm, Eu, Gd, Tb and Dy) series",2015
Julie CAIRNEY,Tomographic reconstruction,2012
Julie CAIRNEY,Insight into the deformation mechanisms of α-Fe at the nanoscale,2011
Julie CAIRNEY,Hydrogen trapping and embrittlement in metals–A review,2024
Julie CAIRNEY,Nanoarchitectonics of La‐Doped Ni3S2/MoS2 Hetetostructural Electrocatalysts for Water Electrolysis,2023
Julie CAIRNEY,Multi-interfacial Ni/Mo2C ultrafine hybrids anchored on nitrogen-doped carbon nanosheets as a highly efficient electrocatalyst for water splitting,2022
Julie CAIRNEY,Three‐dimensional nanofabrication of polystyrene by focused ion beam,2012
Julie CAIRNEY,Microstructural analysis of a FeAl/quasicrystal‐based composite prepared using a focused ion beam miller,2001
Julie CAIRNEY,Designing Co3O4/silica catalysts and intensified ultrafiltration membrane-catalysis process for wastewater treatment,2021
Julie CAIRNEY,Versatile direct-writing of dopants in a solid state host through recoil implantation,2020
Julie CAIRNEY,The effect of niobium additions on ferrite formation in Castrip® steel,2008
Julie CAIRNEY,Characterization of TiN thin films subjected to nanoindentation using focused ion beam milling,2004
Julie CAIRNEY,Giant room temperature compression and bending in ferroelectric oxide pillars,2022
Julie CAIRNEY,Performance of an FeCrAl alloy in a high-temperature CO2 environment,2018
